STATE,MONTHS,Weeks,TOTAL_CONFIRMED,TOTAL_RECOVERED,TOTAL_TESTED,TOTAL_DECEASED
Andaman & Nicobar,October,Week_5,7651,7518,598033,129
Andaman & Nicobar,October,Week_4,7651,7516,594049,129
Andaman & Nicobar,October,Week_3,7646,7510,584772,129
Andaman & Nicobar,October,Week_2,7640,7501,575298,129
Andaman & Nicobar,October,Week_1,7629,7489,564433,129
Andaman & Nicobar,September,Week_5,7621,7483,552153,129
Andaman & Nicobar,September,Week_3,7607,7461,534985,129
Andaman & Nicobar,September,Week_4,7620,7480,548546,129
Andaman & Nicobar,July,Week_2,7499,7359,421940,129
Andaman & Nicobar,July,Week_3,7521,7374,429739,129
Andaman & Nicobar,July,Week_4,7531,7395,437301,129
Andaman & Nicobar,July,Week_5,7537,7400,440870,129
Andaman & Nicobar,August,Week_1,7544,7409,450208,129
Andaman & Nicobar,August,Week_2,7548,7417,458881,129
Andaman & Nicobar,August,Week_3,7557,7419,471525,129
Andaman & Nicobar,August,Week_4,7560,7428,484869,129
Andaman & Nicobar,August,Week_5,7566,7431,490652,129
Andaman & Nicobar,September,Week_1,7573,7437,504146,129
Andaman & Nicobar,September,Week_2,7592,7448,517648,129
Andaman & Nicobar,June,Week_4,7462,7286,408220,128
Andaman & Nicobar,June,Week_5,7467,7308,409890,128
Andaman & Nicobar,July,Week_1,7491,7349,416065,128
Andaman & Nicobar,June,Week_3,7415,7191,402629,127
Andaman & Nicobar,June,Week_2,7269,7034,397190,126
Andaman & Nicobar,June,Week_1,7131,6912,391273,123
Andaman & Nicobar,May,Week_5,7005,6719,386613,115
Andaman & Nicobar,May,Week_4,6936,6630,385020,113
Andaman & Nicobar,May,Week_3,6789,6417,382015,98
Andaman & Nicobar,May,Week_2,6542,6225,378887,85
Andaman & Nicobar,May,Week_1,6311,6030,375967,72
Andaman & Nicobar,April,Week_5,5949,5701,370896,67
Andaman & Nicobar,April,Week_4,5816,5606,367689,67
Andaman & Nicobar,April,Week_3,5490,5276,357442,64
Andaman & Nicobar,April,Week_2,5247,5078,343431,63
Andaman & Nicobar,March,Week_4,5046,4976,315818,62
Andaman & Nicobar,April,Week_1,5131,5020,330481,62
Andaman & Nicobar,March,Week_5,5083,4976,319864,62
Andaman & Nicobar,December,Week_3,4888,4740,166845,62
Andaman & Nicobar,December,Week_4,4929,4803,177926,62
